"タイトル","説明","品物番号","定価",
"据置取付型　LED（電球色）　スタンド　スパイク付　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　ゆらぎ点灯（キャンドルタイプ） 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ100 mm　<br>高：163 mm<br>質量：1.3 kg<br>器具光束：85 lm　<br>電圧：100 V　<br>消費電力：4 W　<br>消費効率：21.2 lm/W<br>【アクリルカバー】透明・内面つや消し<br>【プラスチック】オフブラック<br>据置取付型、スパイク付<br>Ra83<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグ付<br>二重絶縁型<br>常時ゆらぎ点灯<br>※消費電力、入力電流、光束は最大時の値です。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>ゆらぎの点灯パターンの変更はできません。 点灯時の明るさは常に変化し、固定することはできません。<br>","XLGE3602 CM1","50900",
"据置取付型　LED（電球色）　スタンド　スパイク付　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　ゆらぎ点灯（キャンドルタイプ） 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ100 mm　<br>高：163 mm<br>質量：1.3 kg<br>器具光束：85 lm　<br>電圧：100 V　<br>消費電力：4 W　<br>消費効率：21.2 lm/W<br>【アクリルカバー】透明・内面つや消し<br>【プラスチック】オフブラック<br>据置取付型、スパイク付<br>Ra83<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグなし（ケーブルグランド同梱）<br>二重絶縁型<br>常時ゆらぎ点灯<br>※消費電力、入力電流、光束は最大時の値です。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>ゆらぎの点灯パターンの変更はできません。 点灯時の明るさは常に変化し、固定することはできません。<br>","XLGE3612 CM1","50900",
"据置取付型　LED（電球色）　スタンド　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　ゆらぎ点灯（キャンドルタイプ） 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ100 mm　<br>高：163 mm<br>質量：0.8 kg<br>器具光束：85 lm　<br>電圧：100 V　<br>消費電力：4 W　<br>消費効率：21.2 lm/W<br>【アクリルカバー】透明・内面つや消し<br>【プラスチック】オフブラック<br>据置取付型<br>Ra83<br>常時ゆらぎ点灯<br>※消費電力、入力電流、光束は最大時の値です。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>取付には専用のボックスYYY90110〔別売〕が必要です。<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>ゆらぎの点灯パターンの変更はできません。 点灯時の明るさは常に変化し、固定することはできません。<br>","XLGE3622 CM1","48900",
"据置取付型　LED（電球色）　スタンド　スパイク付　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　ゆらぎ点灯（ホタルタイプ） 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ100 mm　<br>高：163 mm<br>質量：1.3 kg<br>器具光束：85 lm　<br>電圧：100 V　<br>消費電力：4 W　<br>消費効率：21.2 lm/W<br>【アクリルカバー】透明・内面つや消し<br>【プラスチック】オフブラック<br>据置取付型、スパイク付<br>Ra83<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグ付<br>二重絶縁型<br>常時ゆらぎ点灯<br>※消費電力、入力電流、光束は最大時の値です。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>ゆらぎの点灯パターンの変更はできません。 点灯時の明るさは常に変化し、固定することはできません。<br>","XLGE3702 CM1","50900",
"据置取付型　LED（電球色）　スタンド　スパイク付　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　ゆらぎ点灯（ホタルタイプ） 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ100 mm　<br>高：163 mm<br>質量：1.3 kg<br>器具光束：85 lm　<br>電圧：100 V　<br>消費電力：4 W　<br>消費効率：21.2 lm/W<br>【アクリルカバー】透明・内面つや消し<br>【プラスチック】オフブラック<br>据置取付型、スパイク付<br>Ra83<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグなし（ケーブルグランド同梱）<br>二重絶縁型<br>常時ゆらぎ点灯<br>※消費電力、入力電流、光束は最大時の値です。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>ゆらぎの点灯パターンの変更はできません。 点灯時の明るさは常に変化し、固定することはできません。<br>","XLGE3712 CM1","50900",
"据置取付型　LED（電球色）　スタンド　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　ゆらぎ点灯（ホタルタイプ） 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ100 mm　<br>高：163 mm<br>質量：0.8 kg<br>器具光束：85 lm　<br>電圧：100 V　<br>消費電力：4 W　<br>消費効率：21.2 lm/W<br>【アクリルカバー】透明・内面つや消し<br>【プラスチック】オフブラック<br>据置取付型<br>Ra83<br>常時ゆらぎ点灯<br>※消費電力、入力電流、光束は最大時の値です。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>取付には専用のボックスYYY90110〔別売〕が必要です。<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>ゆらぎの点灯パターンの変更はできません。 点灯時の明るさは常に変化し、固定することはできません。<br>","XLGE3722 CM1","48900",
"据置取付型　LED（電球色）　スタンド　スパイク付　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　タイマー調光　クラス400 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ100 mm　<br>高：163 mm<br>質量：1.3 kg<br>器具光束：85 lm　<br>電圧：100 V　<br>消費電力：4 W　<br>消費効率：21.2 lm/W<br>【アクリルカバー】透明・内面つや消し<br>【プラスチック】オフブラック<br>据置取付型、スパイク付<br>Ra83<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグ付<br>二重絶縁型<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：85 lm、調光時：26 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>","XLGE3002 CT1","50900",
"据置取付型　LED（電球色）　スタンド　スパイク付　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　タイマー調光　クラス400 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ100 mm　<br>高：163 mm<br>質量：1.3 kg<br>器具光束：85 lm　<br>電圧：100 V　<br>消費電力：4 W　<br>消費効率：21.2 lm/W<br>【アクリルカバー】透明・内面つや消し<br>【プラスチック】オフブラック<br>据置取付型、スパイク付<br>Ra83<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグなし（ケーブルグランド同梱）<br>二重絶縁型<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：85 lm、調光時：26 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>","XLGE3012 CT1","50900",
"据置取付型　LED（電球色）　スタンド　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　タイマー調光　クラス400 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ100 mm　<br>高：163 mm<br>質量：0.8 kg<br>器具光束：85 lm　<br>電圧：100 V　<br>消費電力：4 W　<br>消費効率：21.2 lm/W<br>【アクリルカバー】透明・内面つや消し<br>【プラスチック】オフブラック<br>据置取付型<br>Ra83<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：85 lm、調光時：26 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>取付には専用のボックスYYY90110〔別売〕が必要です。<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>","XLGE3022 CT1","48900",
"据置取付型　LED（電球色）　スタンド　スパイク付　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　ゆらぎ点灯（キャンドルタイプ） 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ100 mm　<br>高：163 mm<br>質量：1.3 kg<br>器具光束：35 lm　<br>電圧：100 V　<br>消費電力：4 W　<br>消費効率：8.7 lm/W<br>【アクリルカバー】透明・内面スモーク<br>【プラスチック】オフブラック<br>据置取付型、スパイク付<br>Ra83<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグ付<br>二重絶縁型<br>常時ゆらぎ点灯<br>※消費電力、入力電流、光束は最大時の値です。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>ゆらぎの点灯パターンの変更はできません。 点灯時の明るさは常に変化し、固定することはできません。<br>","XLGE3601 CM1","50900",
