"タイトル","説明","品物番号","定価",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角85度・拡散タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ300","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ300 mm　<br>埋込高：259 mm<br>質量：5.6 kg<br>器具光束：16185 lm　<br>電圧：100～242 V　<br>消費電力：131 W　<br>消費効率：123.5 lm/W<br>【反射板（上部）】アルミ（銀色鏡面仕上）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ300、ビーム角85度・拡散タイプ・光源遮光角15度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）断熱施工仕様ではありません。<br>注）直下近接限度50cm<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9999SNZ LR9","181900",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角85度・拡散タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ250","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ250 mm　<br>埋込高：248 mm<br>質量：5.3 kg<br>器具光束：16170 lm　<br>電圧：100～242 V　<br>消費電力：131 W　<br>消費効率：123.4 lm/W<br>【反射板（上部）】アルミ（銀色鏡面仕上）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ250、ビーム角85度・拡散タイプ・光源遮光角15度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）断熱施工仕様ではありません。<br>注）直下近接限度50cm<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9997SNZ LR9","181900",
"天井埋込型　LED（白色）　ダウンライト　ビーム角85度・拡散タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ300","LED（白色）　<br>色温度：4000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ300 mm　<br>埋込高：259 mm<br>質量：5.6 kg<br>器具光束：16170 lm　<br>電圧：100～242 V　<br>消費電力：131 W　<br>消費効率：123.4 lm/W<br>【反射板（上部）】アルミ（銀色鏡面仕上）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ300、ビーム角85度・拡散タイプ・光源遮光角15度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）断熱施工仕様ではありません。<br>注）直下近接限度50cm<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9999SWZ LR9","181900",
"天井埋込型　LED（白色）　ダウンライト　ビーム角85度・拡散タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ250","LED（白色）　<br>色温度：4000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ250 mm　<br>埋込高：248 mm<br>質量：5.3 kg<br>器具光束：16155 lm　<br>電圧：100～242 V　<br>消費電力：131 W　<br>消費効率：123.3 lm/W<br>【反射板（上部）】アルミ（銀色鏡面仕上）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ250、ビーム角85度・拡散タイプ・光源遮光角15度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）断熱施工仕様ではありません。<br>注）直下近接限度50cm<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9997SWZ LR9","181900",
"天井埋込型　LED（温白色）　ダウンライト　ビーム角85度・拡散タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ300","LED（温白色）　<br>色温度：3500 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ300 mm　<br>埋込高：259 mm<br>質量：5.6 kg<br>器具光束：16160 lm　<br>電圧：100～242 V　<br>消費電力：131 W　<br>消費効率：123.3 lm/W<br>【反射板（上部）】アルミ（銀色鏡面仕上）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ300、ビーム角85度・拡散タイプ・光源遮光角15度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）断熱施工仕様ではありません。<br>注）直下近接限度50cm<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9999SVZ LR9","181900",
"天井埋込型　LED（温白色）　ダウンライト　ビーム角85度・拡散タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ250","LED（温白色）　<br>色温度：3500 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ250 mm　<br>埋込高：248 mm<br>質量：5.3 kg<br>器具光束：16140 lm　<br>電圧：100～242 V　<br>消費電力：131 W　<br>消費効率：123.2 lm/W<br>【反射板（上部）】アルミ（銀色鏡面仕上）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ250、ビーム角85度・拡散タイプ・光源遮光角15度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）断熱施工仕様ではありません。<br>注）直下近接限度50cm<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9997SVZ LR9","181900",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角45度・広角タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ250","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ250 mm　<br>埋込高：248 mm<br>質量：5.3 kg<br>器具光束：16105 lm　<br>電圧：100～242 V　<br>消費電力：131 W　<br>消費効率：122.9 lm/W<br>【反射板（上部）】アルミ（銀色鏡面仕上）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ250、ビーム角45度・広角タイプ・光源遮光角15度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）断熱施工仕様ではありません。<br>注）直下近接限度50cm<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9996SNZ LR9","181900",
"天井埋込型　LED（白色）　ダウンライト　ビーム角45度・広角タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ250","LED（白色）　<br>色温度：4000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ250 mm　<br>埋込高：248 mm<br>質量：5.3 kg<br>器具光束：16090 lm　<br>電圧：100～242 V　<br>消費電力：131 W　<br>消費効率：122.8 lm/W<br>【反射板（上部）】アルミ（銀色鏡面仕上）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ250、ビーム角45度・広角タイプ・光源遮光角15度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）断熱施工仕様ではありません。<br>注）直下近接限度50cm<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9996SWZ LR9","181900",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角45度・広角タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ300","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ300 mm　<br>埋込高：259 mm<br>質量：5.6 kg<br>器具光束：16095 lm　<br>電圧：100～242 V　<br>消費電力：131 W　<br>消費効率：122.8 lm/W<br>【反射板（上部）】アルミ（銀色鏡面仕上）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ300、ビーム角45度・広角タイプ・光源遮光角15度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）断熱施工仕様ではありません。<br>注）直下近接限度50cm<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9998SNZ LR9","181900",
"天井埋込型　LED（温白色）　ダウンライト　ビーム角45度・広角タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ250","LED（温白色）　<br>色温度：3500 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ250 mm　<br>埋込高：248 mm<br>質量：5.3 kg<br>器具光束：16080 lm　<br>電圧：100～242 V　<br>消費電力：131 W　<br>消費効率：122.7 lm/W<br>【反射板（上部）】アルミ（銀色鏡面仕上）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ250、ビーム角45度・広角タイプ・光源遮光角15度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）断熱施工仕様ではありません。<br>注）直下近接限度50cm<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND9996SVZ LR9","181900",
