"タイトル","説明","品物番号","定価",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ200 mm　<br>高：145 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.7 kg<br>器具光束：422 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：98.1 lm/W<br>デザイン分類：Vintage<br>天井吊下型、直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01089・別売）<br>55度までの傾斜天井に取付可能<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15021AF","33000",
"配線ダクト取付型　LED（電球色）　ダイニング用ペンダント　ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ200 mm　<br>高：145 mm<br>質量：0.6 kg<br>器具光束：422 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：98.1 lm/W<br>デザイン分類：Vintage<br>配線ダクト取付型、ダクトタイプ<br>Ra80<br>コードクリップ付<br>100V配線ダクト用<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01089・別売）<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16021AF","33000",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ165 mm　<br>高：285 mm　<br>全高：700～1200 mm 調節可能<br>質量：1 kg<br>器具光束：413 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：96 lm/W<br>デザイン分類：Modern Classic<br>【ガラスセード】乳白つや消し<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>55度までの傾斜天井に取付可能<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15155","25700",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ87 mm　<br>高：183 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.6 kg<br>器具光束：410 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：95.3 lm/W<br>デザイン分類：Stylish Modern<br>【ガラスセード】乳白つや消し<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>55度までの傾斜天井に取付可能<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15446K","21800",
"配線ダクト取付型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ87 mm　<br>高：183 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.6 kg<br>器具光束：410 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：95.3 lm/W<br>デザイン分類：Stylish Modern<br>【ガラスセード】乳白つや消し<br>配線ダクト取付型、ガラスセードタイプ・ダクトタイプ<br>Ra80<br>100V配線ダクト用<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16446K","22800",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　アクリルセードタイプ・引掛シーリング方式　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ110 mm　<br>高：140 mm<br>質量：0.3 kg<br>器具光束：409 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：95.1 lm/W<br>デザイン分類：Casual<br>【アクリルセード】乳白つや消し・一部リブ入り<br>天井吊下型、アクリルセードタイプ・引掛シーリング方式<br>Ra80<br>コードクリップ付<br>丸型フランジ付<br>引掛シーリング方式<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15059F","11000",
"配線ダクト取付型　LED（電球色）　ダイニング用ペンダント　アクリルセードタイプ・ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ110 mm　<br>高：140 mm<br>質量：0.3 kg<br>器具光束：409 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：95.1 lm/W<br>デザイン分類：Casual<br>【アクリルセード】乳白つや消し・一部リブ入り<br>配線ダクト取付型、アクリルセードタイプ・ダクトタイプ<br>Ra80<br>コードクリップ付<br>100V配線ダクト用<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16058F","12900",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ148 mm　<br>高：190 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.9 kg<br>器具光束：408 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：94.8 lm/W<br>デザイン分類：French Chic<br>【ガラスセード】乳白つや消し<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01089・別売）<br>55度までの傾斜天井に取付可能<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15156","29100",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ120 mm　<br>高：180 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.7 kg<br>器具光束：400 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：93 lm/W<br>デザイン分類：Stylish Modern<br>【ガラスセード】乳白つや消し<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>55度までの傾斜天井に取付可能<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15003F","19000",
"配線ダクト取付型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ120 mm　<br>高：180 mm<br>質量：0.6 kg<br>器具光束：400 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：93 lm/W<br>デザイン分類：Stylish Modern<br>【ガラスセード】乳白つや消し<br>配線ダクト取付型、ガラスセードタイプ・ダクトタイプ<br>Ra80<br>コードクリップ付<br>100V配線ダクト用<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16003F","19000",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ140 mm　<br>高：165 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.8 kg<br>器具光束：391 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：90.9 lm/W<br>デザイン分類：Natural<br>【ガラスセード】乳白<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>55度までの傾斜天井に取付可能<br>手造り品ですので寸法、および色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15085F","29500",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ200 mm　<br>高：116 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.55 kg<br>器具光束：391 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：90.9 lm/W<br>デザイン分類：Casual／Vintage<br>天井吊下型、直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>55度までの傾斜天井に取付可能<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15333F","24500",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ200 mm　<br>高：116 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.55 kg<br>器具光束：391 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：90.9 lm/W<br>デザイン分類：Vintage<br>天井吊下型、直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01089・別売）<br>55度までの傾斜天井に取付可能<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15334F","24500",
"配線ダクト取付型　LED（電球色）　ダイニング用ペンダント　ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ200 mm　<br>高：116 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.5 kg<br>器具光束：391 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：90.9 lm/W<br>デザイン分類：Casual／Vintage<br>配線ダクト取付型、ダクトタイプ<br>Ra80<br>100V配線ダクト用<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16723K","25500",
"配線ダクト取付型　LED（電球色）　ダイニング用ペンダント　ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ200 mm　<br>高：116 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.5 kg<br>器具光束：391 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：90.9 lm/W<br>デザイン分類：Vintage<br>配線ダクト取付型、ダクトタイプ<br>Ra80<br>100V配線ダクト用<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01089・別売）<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16734K","25500",
"配線ダクト取付型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ140 mm　<br>高：165 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.8 kg<br>器具光束：391 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：90.9 lm/W<br>デザイン分類：Natural<br>【ガラスセード】乳白<br>配線ダクト取付型、ガラスセードタイプ・ダクトタイプ<br>Ra80<br>100V配線ダクト用<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>手造り品ですので寸法、および色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16765K","30500",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ155 mm　<br>高：278 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.9 kg<br>器具光束：378 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：87.9 lm/W<br>デザイン分類：Modern Classic<br>【ガラスセード】乳白つや消し<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01089・別売）<br>55度までの傾斜天井に取付可能<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15024F","21700",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ93 mm　<br>高：250 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.5 kg<br>器具光束：370 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：86 lm/W<br>デザイン分類：Stylish Modern<br>【ガラスセード】透明カットガラス<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01089・別売）<br>55度までの傾斜天井に取付可能<br>手造り品ですので色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15052U","30500",
"配線ダクト取付型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ93 mm　<br>高：250 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.5 kg<br>器具光束：370 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：86 lm/W<br>デザイン分類：Stylish Modern<br>【ガラスセード】透明カットガラス<br>配線ダクト取付型、ガラスセードタイプ・ダクトタイプ<br>Ra80<br>100V配線ダクト用<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01089・別売）<br>手造り品ですので色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16742K","31500",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ93 mm　<br>高：250 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.5 kg<br>器具光束：360 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：83.7 lm/W<br>デザイン分類：Casual<br>【ガラスセード】一部つや消し<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>55度までの傾斜天井に取付可能<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15050F","21600",
"配線ダクト取付型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ93 mm　<br>高：250 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.5 kg<br>器具光束：360 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：83.7 lm/W<br>デザイン分類：Casual<br>【ガラスセード】一部つや消し<br>配線ダクト取付型、ガラスセードタイプ・ダクトタイプ<br>Ra80<br>100V配線ダクト用<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16750K","22600",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ80 mm　<br>高：206 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.8 kg<br>器具光束：338 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：78.6 lm/W<br>デザイン分類：Casual<br>【ガラスセード】乳白つや消し<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>55度までの傾斜天井に取付可能<br>手造り品ですので寸法、および色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15008U","19500",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ80 mm　<br>高：215 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.8 kg<br>器具光束：338 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：78.6 lm/W<br>デザイン分類：Natural<br>【ガラスセード】乳白つや消し<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>55度までの傾斜天井に取付可能<br>手造り品ですので寸法、および色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15010U","21800",
"配線ダクト取付型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ80 mm　<br>高：206 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.9 kg<br>器具光束：338 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：78.6 lm/W<br>デザイン分類：Casual<br>【ガラスセード】乳白つや消し<br>配線ダクト取付型、ガラスセードタイプ・ダクトタイプ<br>Ra80<br>100V配線ダクト用<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>手造り品ですので寸法、および色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16708K","20500",
"配線ダクト取付型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ80 mm　<br>高：215 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.9 kg<br>器具光束：338 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：78.6 lm/W<br>デザイン分類：Natural<br>【ガラスセード】乳白つや消し<br>配線ダクト取付型、ガラスセードタイプ・ダクトタイプ<br>Ra80<br>100V配線ダクト用<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>手造り品ですので寸法、および色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16710K","22800",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　白磁セードタイプ・引掛シーリング方式　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ137 mm　<br>高：163 mm　<br>全高：600～2000 mm 調節可能<br>質量：0.8 kg<br>器具光束：330 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：76.7 lm/W<br>デザイン分類：Japanese Modern<br>【白磁セード】すかし磁器<br>天井吊下型、白磁セードタイプ・引掛シーリング方式<br>Ra80<br>コード140cm収納可能<br>コードハンガー付<br>引掛シーリング方式<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>55度までの傾斜天井に取付可能（コードハンガー使用時のみ）<br>手造り品ですので色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15077F","31500",
"配線ダクト取付型　LED（電球色）　ダイニング用ペンダント　白磁セードタイプ・ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ137 mm　<br>高：163 mm<br>質量：0.8 kg<br>器具光束：330 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：76.7 lm/W<br>デザイン分類：Japanese Modern<br>【白磁セード】すかし磁器<br>配線ダクト取付型、白磁セードタイプ・ダクトタイプ<br>Ra80<br>コードクリップ付<br>100V配線ダクト用<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>手造り品ですので色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16077F","31500",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　陶器セードタイプ・引掛シーリング方式　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ137 mm　<br>高：163 mm　<br>全高：600～2000 mm 調節可能<br>質量：0.8 kg<br>器具光束：321 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：74.6 lm/W<br>デザイン分類：Japanese Modern<br>【陶器セード】外面黒鉄釉・内面粉引<br>天井吊下型、陶器セードタイプ・引掛シーリング方式<br>Ra80<br>コード140cm収納可能<br>コードハンガー付<br>引掛シーリング方式<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01089・別売）<br>55度までの傾斜天井に取付可能（コードハンガー使用時のみ）<br>手造り品ですので色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15078F","31500",
"配線ダクト取付型　LED（電球色）　ダイニング用ペンダント　陶器セードタイプ・ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ137 mm　<br>高：163 mm<br>質量：0.8 kg<br>器具光束：321 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：74.6 lm/W<br>デザイン分類：Japanese Modern<br>【陶器セード】外面黒鉄釉・内面粉引<br>配線ダクト取付型、陶器セードタイプ・ダクトタイプ<br>Ra80<br>コードクリップ付<br>100V配線ダクト用<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01089・別売）<br>手造り品ですので色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16078F","31500",
"天井吊下型　LED（電球色）　ダイニング用ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球60形1灯器具相当","LED電球小形電球タイプ8.2W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ90 mm　<br>高：203 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.9 kg<br>器具光束：600 lm　<br>電圧：100 V　<br>消費電力：8.2 W　<br>消費効率：73.1 lm/W<br>デザイン分類：Natural<br>【ガラスセード】乳白つや消し<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>高演色Ra90<br>コード50cm収納可能<br>コード収納型フランジ<br>60形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>55度までの傾斜天井に取付可能<br>手造り品ですので寸法、および色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.141 A<br>調光操作不可<br>","LGB15026F","26300",
