"タイトル","説明","品物番号","定価",
"据置取付型　LED（電球色）　エクステリア ガーデンライト　スパイク付　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　クラス400 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：□150 mm　<br>高：170 mm<br>質量：2.4 kg<br>器具光束：9 lm　<br>電圧：100 V　<br>消費電力：4.1 W　<br>消費効率：2.1 lm/W<br>【アクリルカバー】透明<br>【プラスチック本体】オフブラック<br>【アルミダイカスト枠】オフブラック<br>据置取付型、スパイク付<br>Ra83<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグ付<br>二重絶縁型<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>","XLGE3003 CE1","65400",
"据置取付型　LED（電球色）　エクステリア ガーデンライト　スパイク付　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　クラス400 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：□150 mm　<br>高：170 mm<br>質量：2.4 kg<br>器具光束：9 lm　<br>電圧：100 V　<br>消費電力：4.1 W　<br>消費効率：2.1 lm/W<br>【アクリルカバー】透明<br>【プラスチック本体】オフブラック<br>【アルミダイカスト枠】オフブラック<br>据置取付型、スパイク付<br>Ra83<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグなし（ケーブルグランド同梱）<br>二重絶縁型<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>","XLGE3013 CE1","65400",
"据置取付型　LED（電球色）　エクステリア ガーデンライト　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　クラス400 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：□150 mm　<br>高：170 mm<br>質量：1.9 kg<br>器具光束：9 lm　<br>電圧：100 V　<br>消費電力：4.1 W　<br>消費効率：2.1 lm/W<br>【アクリルカバー】透明<br>【プラスチック本体】オフブラック<br>【アルミダイカスト枠】オフブラック<br>据置取付型<br>Ra83<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>取付には専用のボックスYYY90110〔別売〕が必要です。<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>","XLGE3023 CE1","63400",
"据置取付型　LED（電球色）　エクステリア ガーデンライト　スパイク付　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　クラス400 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：□150 mm　<br>高：170 mm<br>質量：2.4 kg<br>器具光束：8 lm　<br>電圧：100 V　<br>消費電力：4.1 W　<br>消費効率：1.9 lm/W<br>【アクリルカバー】透明<br>【プラスチック本体】オフブラック<br>【アルミダイカスト枠】オフブラック<br>据置取付型、スパイク付<br>Ra83<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグ付<br>二重絶縁型<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>","XLGE3004 CE1","65400",
"据置取付型　LED（電球色）　エクステリア ガーデンライト　スパイク付　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　クラス400 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：□150 mm　<br>高：170 mm<br>質量：2.4 kg<br>器具光束：8 lm　<br>電圧：100 V　<br>消費電力：4.1 W　<br>消費効率：1.9 lm/W<br>【アクリルカバー】透明<br>【プラスチック本体】オフブラック<br>【アルミダイカスト枠】オフブラック<br>据置取付型、スパイク付<br>Ra83<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグなし（ケーブルグランド同梱）<br>二重絶縁型<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>","XLGE3014 CE1","65400",
"据置取付型　LED（電球色）　エクステリア ガーデンライト　LEDフラットランプ交換型・防雨型","LEDフラットランプφ70　クラス400 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：□150 mm　<br>高：170 mm<br>質量：1.9 kg<br>器具光束：8 lm　<br>電圧：100 V　<br>消費電力：4.1 W　<br>消費効率：1.9 lm/W<br>【アクリルカバー】透明<br>【プラスチック本体】オフブラック<br>【アルミダイカスト枠】オフブラック<br>据置取付型<br>Ra83<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>取付には専用のボックスYYY90110〔別売〕が必要です。<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可<br>","XLGE3024 CE1","63400",
"据置取付型　LED　エクステリア ガーデンライト　スパイク付　防雨型","<font color="red">ランプ別売</font><br><br>LEDフラットランプφ70（口金GX53-1）用　<br>スパイク付　<br>キャブタイヤケーブル5m付　<br>電源プラグ付　<br>二重絶縁型<br>幅：□150 mm　<br>高：170 mm<br>質量：2.3 kg<br>電圧：100 V<br>【アクリルカバー】透明<br>【プラスチック本体】オフブラック<br>【アルミダイカスト枠】オフブラック<br>据置取付型、スパイク付<br>LEDフラットランプφ70（口金GX53-1）用<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグ付<br>二重絶縁型<br>適合ランプとの組み合わせのみ使用可能<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可","LGW46002","59000",
"据置取付型　LED　エクステリア ガーデンライト　スパイク付　防雨型","<font color="red">ランプ別売</font><br><br>LEDフラットランプφ70（口金GX53-1）用　<br>スパイク付　<br>キャブタイヤケーブル5m付　<br>電源プラグ付　<br>二重絶縁型<br>幅：□150 mm　<br>高：170 mm<br>質量：2.3 kg<br>電圧：100 V<br>【アクリルカバー】透明<br>【プラスチック本体】オフブラック<br>【アルミダイカスト枠】オフブラック<br>据置取付型、スパイク付<br>LEDフラットランプφ70（口金GX53-1）用<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグ付<br>二重絶縁型<br>適合ランプとの組み合わせのみ使用可能<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可","LGW46003","59000",
"据置取付型　LED　エクステリア ガーデンライト　スパイク付　防雨型","<font color="red">ランプ別売</font><br><br>LEDフラットランプφ70（口金GX53-1）用　<br>スパイク付　<br>キャブタイヤケーブル5m付　<br>電源プラグなし（ケーブルグランド同梱）　<br>二重絶縁型<br>幅：□150 mm　<br>高：170 mm<br>質量：2.3 kg<br>電圧：100 V<br>【アクリルカバー】透明<br>【プラスチック本体】オフブラック<br>【アルミダイカスト枠】オフブラック<br>据置取付型、スパイク付<br>LEDフラットランプφ70（口金GX53-1）用<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグなし（ケーブルグランド同梱）<br>二重絶縁型<br>適合ランプとの組み合わせのみ使用可能<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可","LGW46012","59000",
"据置取付型　LED　エクステリア ガーデンライト　スパイク付　防雨型","<font color="red">ランプ別売</font><br><br>LEDフラットランプφ70（口金GX53-1）用　<br>スパイク付　<br>キャブタイヤケーブル5m付　<br>電源プラグなし（ケーブルグランド同梱）　<br>二重絶縁型<br>幅：□150 mm　<br>高：170 mm<br>質量：2.3 kg<br>電圧：100 V<br>【アクリルカバー】透明<br>【プラスチック本体】オフブラック<br>【アルミダイカスト枠】オフブラック<br>据置取付型、スパイク付<br>LEDフラットランプφ70（口金GX53-1）用<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグなし（ケーブルグランド同梱）<br>二重絶縁型<br>適合ランプとの組み合わせのみ使用可能<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可","LGW46013","59000",
"据置取付型　LED　エクステリア ガーデンライト　防雨型","<font color="red">ランプ別売</font><br><br>LEDフラットランプφ70（口金GX53-1）用<br>幅：□150 mm　<br>高：170 mm<br>質量：1.8 kg<br>電圧：100 V<br>【アクリルカバー】透明<br>【プラスチック本体】オフブラック<br>【アルミダイカスト枠】オフブラック<br>据置取付型<br>LEDフラットランプφ70（口金GX53-1）用<br>適合ランプとの組み合わせのみ使用可能<br>取付には専用のボックスYYY90110〔別売〕が必要です。<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可","LGW46022","57000",
"据置取付型　LED　エクステリア ガーデンライト　防雨型","<font color="red">ランプ別売</font><br><br>LEDフラットランプφ70（口金GX53-1）用<br>幅：□150 mm　<br>高：170 mm<br>質量：1.8 kg<br>電圧：100 V<br>【アクリルカバー】透明<br>【プラスチック本体】オフブラック<br>【アルミダイカスト枠】オフブラック<br>据置取付型<br>LEDフラットランプφ70（口金GX53-1）用<br>適合ランプとの組み合わせのみ使用可能<br>取付には専用のボックスYYY90110〔別売〕が必要です。<br>冠水するおそれのあるところへは設置不可<br>写真方向以外取り付け不可","LGW46023","57000",
