"タイトル","説明","品物番号","定価",
"天井直付型　LED（電球色）　シーリングライト　リモコン調光・カチットF　～12畳　～12畳","LED（電球色タイプ）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ500 mm　<br>高：122 mm<br>質量：1.4 kg<br>器具光束：5000 lm　<br>電圧：100 V　<br>消費電力：39.5 W　<br>消費効率：126.5 lm/W<br>畳数：～12畳<br>デザイン分類：Casual<br>【アクリルカバー】乳白つや消し<br>天井直付型、～12畳、リモコン調光・カチットF<br>Ra83<br>【適合スイッチ】埋込スイッチB（片切）WT5001 （別売）<br>【適合スイッチ】埋込スイッチC（3路）WT5002 （別売）<br>【適合スイッチ】埋込ほたるスイッチB（片切）WTA5051 （別売）<br>【適合スイッチ】埋込ほたるスイッチC（3路）WTA5052 （別売）<br>リモコン（全灯・普段・常夜灯・滅）<br>壁スイッチ切替（全灯→普段→常夜灯）<br>リモコンで〈100％～5％〉調光<br>専用リモコン送信器同梱<br>虫・ホコリの入りにくい構造<br>※別売の傾斜天井アダプタ（HK9039）使用時、55度までの傾斜天井に取付可能<br>※適合壁スイッチ1台に対し、8台まで接続可能<br>入力電流（100V時）：0.41 A<br>","LGC5113LK","32000",
"天井直付型　LED（温白色）　シーリングライト　リモコン調光・カチットF　～10畳　～10畳","LED（温白色タイプ）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ500 mm　<br>高：122 mm<br>質量：1.4 kg<br>器具光束：4500 lm　<br>電圧：100 V　<br>消費電力：35.9 W　<br>消費効率：125.3 lm/W<br>畳数：～10畳<br>デザイン分類：Casual<br>【アクリルカバー】乳白つや消し<br>天井直付型、～10畳、リモコン調光・カチットF<br>Ra83<br>【適合スイッチ】埋込スイッチB（片切）WT5001 （別売）<br>【適合スイッチ】埋込スイッチC（3路）WT5002 （別売）<br>【適合スイッチ】埋込ほたるスイッチB（片切）WTA5051 （別売）<br>【適合スイッチ】埋込ほたるスイッチC（3路）WTA5052 （別売）<br>リモコン（全灯・普段・常夜灯・滅）<br>壁スイッチ切替（全灯→普段→常夜灯）<br>リモコンで〈100％～5％〉調光<br>専用リモコン送信器同梱<br>虫・ホコリの入りにくい構造<br>※別売の傾斜天井アダプタ（HK9039）使用時、55度までの傾斜天井に取付可能<br>※適合壁スイッチ1台に対し、8台まで接続可能<br>入力電流（100V時）：0.37 A<br>","LGC4113VK","28000",
"天井直付型　LED（温白色）　シーリングライト　リモコン調光・カチットF　～12畳　～12畳","LED（温白色タイプ）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ500 mm　<br>高：122 mm<br>質量：1.4 kg<br>器具光束：5000 lm　<br>電圧：100 V　<br>消費電力：39.9 W　<br>消費効率：125.3 lm/W<br>畳数：～12畳<br>デザイン分類：Casual<br>【アクリルカバー】乳白つや消し<br>天井直付型、～12畳、リモコン調光・カチットF<br>Ra83<br>【適合スイッチ】埋込スイッチB（片切）WT5001 （別売）<br>【適合スイッチ】埋込スイッチC（3路）WT5002 （別売）<br>【適合スイッチ】埋込ほたるスイッチB（片切）WTA5051 （別売）<br>【適合スイッチ】埋込ほたるスイッチC（3路）WTA5052 （別売）<br>リモコン（全灯・普段・常夜灯・滅）<br>壁スイッチ切替（全灯→普段→常夜灯）<br>リモコンで〈100％～5％〉調光<br>専用リモコン送信器同梱<br>虫・ホコリの入りにくい構造<br>※別売の傾斜天井アダプタ（HK9039）使用時、55度までの傾斜天井に取付可能<br>※適合壁スイッチ1台に対し、8台まで接続可能<br>入力電流（100V時）：0.41 A<br>","LGC5113VK","32000",
"天井直付型　LED（電球色）　シーリングライト　リモコン調光・カチットF　～10畳　～10畳","LED（電球色タイプ）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ500 mm　<br>高：122 mm<br>質量：1.4 kg<br>器具光束：4500 lm　<br>電圧：100 V　<br>消費電力：36 W　<br>消費効率：125 lm/W<br>畳数：～10畳<br>デザイン分類：Casual<br>【アクリルカバー】乳白つや消し<br>天井直付型、～10畳、リモコン調光・カチットF<br>Ra83<br>【適合スイッチ】埋込スイッチB（片切）WT5001 （別売）<br>【適合スイッチ】埋込スイッチC（3路）WT5002 （別売）<br>【適合スイッチ】埋込ほたるスイッチB（片切）WTA5051 （別売）<br>【適合スイッチ】埋込ほたるスイッチC（3路）WTA5052 （別売）<br>リモコン（全灯・普段・常夜灯・滅）<br>壁スイッチ切替（全灯→普段→常夜灯）<br>リモコンで〈100％～5％〉調光<br>専用リモコン送信器同梱<br>虫・ホコリの入りにくい構造<br>※別売の傾斜天井アダプタ（HK9039）使用時、55度までの傾斜天井に取付可能<br>※適合壁スイッチ1台に対し、8台まで接続可能<br>入力電流（100V時）：0.37 A<br>","LGC4113LK","28000",
"天井直付型　LED（昼光色・電球色）　シーリングライト　リモコン調光・リモコン調色・カチットF　～8畳　～8畳","LED（昼光色6500K・Ra83／電球色2700K・Ra83）　<br>色温度：6500 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ500 mm　<br>高：122 mm<br>質量：1.4 kg<br>器具光束：4000 lm　<br>電圧：100 V　<br>消費電力：32 W　<br>消費効率：125 lm/W<br>畳数：～8畳<br>デザイン分類：French Chic<br>【アクリルカバー】乳白つや消し・模様入り<br>天井直付型、～8畳、リモコン調光・リモコン調色・カチットF<br>昼光色Ra83<br>電球色Ra83<br>リモコン（〈明るさアップ（全灯長押）〉・全灯・普段・常夜灯・滅）<br>壁スイッチ切替（普段←→常夜灯）<br>リモコンで〈100％～5％〉調光、〈昼光色～電球色〉調色<br>専用リモコン送信器同梱<br>虫・ホコリの入りにくい構造<br>明るさアップモード（約6200K、明るさ約120％）<br>明るさアップモード時：38.5W<br>※別売の傾斜天井アダプタ（HK9039）使用時、55度までの傾斜天井に取付可能<br>光色によって、全光束などの性能値が変化します。<br>入力電流（100V時）：0.4 A<br>明るさアップモード時は全灯時より光束と消費電力が増加し、固有エネルギー消費効率が低下します。<br>","LGC31234","42000",
"天井直付型　LED（昼光色・電球色）　シーリングライト　リモコン調光・リモコン調色・カチットF　～10畳　～10畳","LED（昼光色6500K・Ra83／電球色2700K・Ra83）　<br>色温度：6500 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ514 mm　<br>高：122 mm<br>質量：1.6 kg<br>器具光束：4500 lm　<br>電圧：100 V　<br>消費電力：36.3 W　<br>消費効率：123.9 lm/W<br>畳数：～10畳<br>デザイン分類：Casual<br>【アクリルカバー】乳白つや消し<br>【枠】グレー<br>天井直付型、～10畳、リモコン調光・リモコン調色・カチットF<br>昼光色Ra83<br>電球色Ra83<br>リモコン（〈明るさアップ（全灯長押）〉・全灯・普段・常夜灯・滅）<br>壁スイッチ切替（普段←→常夜灯）<br>リモコンで〈100％～5％〉調光、〈昼光色～電球色〉調色<br>専用リモコン送信器同梱<br>虫・ホコリの入りにくい構造<br>明るさアップモード（約6200K、明るさ約120％）<br>明るさアップモード時：43.7W<br>※別売の傾斜天井アダプタ（HK9039）使用時、55度までの傾斜天井に取付可能<br>光色によって、全光束などの性能値が変化します。<br>入力電流（100V時）：0.45 A<br>明るさアップモード時は全灯時より光束と消費電力が増加し、固有エネルギー消費効率が低下します。<br>","LGC41166","39500",
"天井直付型　LED（昼光色・電球色）　シーリングライト　リモコン調光・リモコン調色・カチットF　～12畳　～12畳","LED（昼光色6500K・Ra83／電球色2700K・Ra83）　<br>色温度：6500 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ500 mm　<br>高：122 mm<br>質量：1.4 kg<br>器具光束：5100 lm　<br>電圧：100 V　<br>消費電力：41.3 W　<br>消費効率：123.4 lm/W<br>畳数：～12畳<br>デザイン分類：French Chic<br>【アクリルカバー】乳白つや消し・模様入り<br>天井直付型、～12畳、リモコン調光・リモコン調色・カチットF<br>昼光色Ra83<br>電球色Ra83<br>リモコン（〈明るさアップ（全灯長押）〉・全灯・普段・常夜灯・滅）<br>壁スイッチ切替（普段←→常夜灯）<br>リモコンで〈100％～5％〉調光、〈昼光色～電球色〉調色<br>専用リモコン送信器同梱<br>虫・ホコリの入りにくい構造<br>明るさアップモード（約6200K、明るさ約120％）<br>明るさアップモード時：49.7W<br>※別売の傾斜天井アダプタ（HK9039）使用時、55度までの傾斜天井に取付可能<br>光色によって、全光束などの性能値が変化します。<br>入力電流（100V時）：0.51 A<br>明るさアップモード時は全灯時より光束と消費電力が増加し、固有エネルギー消費効率が低下します。<br>","LGC51234","52000",
"天井直付型　LED（昼光色・電球色）　シーリングライト　リモコン調光・リモコン調色・カチットF　～8畳　～8畳","LED（昼光色6500K・Ra83／電球色2700K・Ra83）　<br>色温度：6500 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ514 mm　<br>高：122 mm<br>質量：1.6 kg<br>器具光束：3950 lm　<br>電圧：100 V　<br>消費電力：32 W　<br>消費効率：123.4 lm/W<br>畳数：～8畳<br>デザイン分類：Casual<br>【アクリルカバー】乳白つや消し<br>【枠】グレー<br>天井直付型、～8畳、リモコン調光・リモコン調色・カチットF<br>昼光色Ra83<br>電球色Ra83<br>リモコン（〈明るさアップ（全灯長押）〉・全灯・普段・常夜灯・滅）<br>壁スイッチ切替（普段←→常夜灯）<br>リモコンで〈100％～5％〉調光、〈昼光色～電球色〉調色<br>専用リモコン送信器同梱<br>虫・ホコリの入りにくい構造<br>明るさアップモード（約6200K、明るさ約120％）<br>明るさアップモード時：38.5W<br>※別売の傾斜天井アダプタ（HK9039）使用時、55度までの傾斜天井に取付可能<br>光色によって、全光束などの性能値が変化します。<br>入力電流（100V時）：0.4 A<br>明るさアップモード時は全灯時より光束と消費電力が増加し、固有エネルギー消費効率が低下します。<br>","LGC31166","36000",
"天井直付型　LED（昼光色・電球色）　シーリングライト　リモコン調光・リモコン調色・カチットF　～6畳　～6畳","LED（昼光色6500K・Ra83／電球色2700K・Ra83）　<br>色温度：6500 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ514 mm　<br>高：122 mm<br>質量：1.6 kg<br>器具光束：3400 lm　<br>電圧：100 V　<br>消費電力：27.6 W　<br>消費効率：123.1 lm/W<br>畳数：～6畳<br>デザイン分類：Casual<br>【アクリルカバー】乳白つや消し<br>【枠】グレー<br>天井直付型、～6畳、リモコン調光・リモコン調色・カチットF<br>昼光色Ra83<br>電球色Ra83<br>リモコン（〈明るさアップ（全灯長押）〉・全灯・普段・常夜灯・滅）<br>壁スイッチ切替（普段←→常夜灯）<br>リモコンで〈100％～5％〉調光、〈昼光色～電球色〉調色<br>専用リモコン送信器同梱<br>虫・ホコリの入りにくい構造<br>明るさアップモード（約6200K、明るさ約120％）<br>明るさアップモード時：33.2W<br>※別売の傾斜天井アダプタ（HK9039）使用時、55度までの傾斜天井に取付可能<br>光色によって、全光束などの性能値が変化します。<br>入力電流（100V時）：0.34 A<br>明るさアップモード時は全灯時より光束と消費電力が増加し、固有エネルギー消費効率が低下します。<br>","LGC21166","33500",
"天井直付型　LED（昼光色・電球色）　シーリングライト　リモコン調光・リモコン調色・カチットF　～12畳　～12畳","LED（昼光色6500K・Ra83／電球色2700K・Ra83）　<br>色温度：6500 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ514 mm　<br>高：122 mm<br>質量：1.6 kg<br>器具光束：5050 lm　<br>電圧：100 V　<br>消費電力：41.3 W　<br>消費効率：122.2 lm/W<br>畳数：～12畳<br>デザイン分類：Casual<br>【アクリルカバー】乳白つや消し<br>【枠】グレー<br>天井直付型、～12畳、リモコン調光・リモコン調色・カチットF<br>昼光色Ra83<br>電球色Ra83<br>リモコン（〈明るさアップ（全灯長押）〉・全灯・普段・常夜灯・滅）<br>壁スイッチ切替（普段←→常夜灯）<br>リモコンで〈100％～5％〉調光、〈昼光色～電球色〉調色<br>専用リモコン送信器同梱<br>虫・ホコリの入りにくい構造<br>明るさアップモード（約6200K、明るさ約120％）<br>明るさアップモード時：49.7W<br>※別売の傾斜天井アダプタ（HK9039）使用時、55度までの傾斜天井に取付可能<br>光色によって、全光束などの性能値が変化します。<br>入力電流（100V時）：0.51 A<br>明るさアップモード時は全灯時より光束と消費電力が増加し、固有エネルギー消費効率が低下します。<br>","LGC51166","43000",
