"タイトル","説明","品物番号","定価",
"天井直付型・壁直付型　LED（電球色）　ブラケット　密閉型・拡散タイプ　LEDフラットランプ交換型・防雨型　白熱電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：250 mm　<br>高：250 mm　<br>出しろ：115 mm<br>質量：2 kg<br>器具光束：495 lm　<br>電圧：100 V　<br>消費電力：7.6 W　<br>消費効率：65.1 lm/W<br>デザイン分類：Stylish Modern<br>【アルミダイカスト】オフブラック<br>【アクリルカバー】乳白<br>天井直付型・壁直付型、密閉型・拡散タイプ<br>Ra83<br>60形電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>密閉型<br>全灯時：495 lm、調光時：145 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.13 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>","XLGE8001 CT1","39500",
"天井直付型・壁直付型　LED（昼白色）　ブラケット　密閉型・拡散タイプ　LEDフラットランプ交換型・防雨型　白熱電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：250 mm　<br>高：250 mm　<br>出しろ：115 mm<br>質量：2 kg<br>器具光束：495 lm　<br>電圧：100 V　<br>消費電力：7.6 W　<br>消費効率：65.1 lm/W<br>デザイン分類：Stylish Modern<br>【アルミダイカスト】オフブラック<br>【アクリルカバー】乳白<br>天井直付型・壁直付型、密閉型・拡散タイプ<br>Ra83<br>60形電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>密閉型<br>全灯時：495 lm、調光時：145 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.13 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>","XLGE8003 CT1","39500",
"天井直付型・壁直付型　LED（電球色）　ブラケット　密閉型・拡散タイプ　LEDフラットランプ交換型・防雨型　白熱電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：250 mm　<br>高：250 mm　<br>出しろ：115 mm<br>質量：2 kg<br>器具光束：495 lm　<br>電圧：100 V　<br>消費電力：7.6 W　<br>消費効率：65.1 lm/W<br>デザイン分類：Stylish Modern<br>【アルミダイカスト】シルバーメタリック<br>【アクリルカバー】乳白<br>天井直付型・壁直付型、密閉型・拡散タイプ<br>Ra83<br>60形電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>密閉型<br>全灯時：495 lm、調光時：145 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.13 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>","XLGE8004 CT1","39500",
"天井直付型・壁直付型　LED（昼白色）　ブラケット　密閉型・拡散タイプ　LEDフラットランプ交換型・防雨型　白熱電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：250 mm　<br>高：250 mm　<br>出しろ：115 mm<br>質量：2 kg<br>器具光束：495 lm　<br>電圧：100 V　<br>消費電力：7.6 W　<br>消費効率：65.1 lm/W<br>デザイン分類：Stylish Modern<br>【アルミダイカスト】シルバーメタリック<br>【アクリルカバー】乳白<br>天井直付型・壁直付型、密閉型・拡散タイプ<br>Ra83<br>60形電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>密閉型<br>全灯時：495 lm、調光時：145 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.13 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>","XLGE8006 CT1","39500",
"天井直付型・壁直付型　LED（電球色）　ブラケット　密閉型・拡散タイプ　LEDフラットランプ交換型・防雨型　白熱電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：250 mm　<br>高：250 mm　<br>出しろ：115 mm<br>質量：2 kg<br>器具光束：495 lm　<br>電圧：100 V　<br>消費電力：7.6 W　<br>消費効率：65.1 lm/W<br>デザイン分類：Stylish Modern<br>【アルミダイカスト】プラチナメタリック<br>【アクリルカバー】乳白<br>天井直付型・壁直付型、密閉型・拡散タイプ<br>Ra83<br>60形電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>密閉型<br>全灯時：495 lm、調光時：145 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.13 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>","XLGE8007 CT1","39500",
"天井直付型・壁直付型　LED（昼白色）　ブラケット　密閉型・拡散タイプ　LEDフラットランプ交換型・防雨型　白熱電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：250 mm　<br>高：250 mm　<br>出しろ：115 mm<br>質量：2 kg<br>器具光束：495 lm　<br>電圧：100 V　<br>消費電力：7.6 W　<br>消費効率：65.1 lm/W<br>デザイン分類：Stylish Modern<br>【アルミダイカスト】プラチナメタリック<br>【アクリルカバー】乳白<br>天井直付型・壁直付型、密閉型・拡散タイプ<br>Ra83<br>60形電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>密閉型<br>全灯時：495 lm、調光時：145 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.13 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>","XLGE8009 CT1","39500",
"天井直付型・壁直付型　LED（電球色）　ブラケット　密閉型・拡散タイプ　LEDフラットランプ交換型・防雨型　白熱電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：280 mm　<br>高：280 mm　<br>出しろ：115 mm<br>質量：1.9 kg<br>器具光束：495 lm　<br>電圧：100 V　<br>消費電力：7.6 W　<br>消費効率：65.1 lm/W<br>デザイン分類：Stylish Modern<br>【アルミダイカスト】オフブラック<br>【アクリルカバー】乳白<br>天井直付型・壁直付型、密閉型・拡散タイプ<br>Ra83<br>60形電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>密閉型<br>全灯時：495 lm、調光時：145 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.13 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>","XLGE8011 CT1","36400",
"天井直付型・壁直付型　LED（昼白色）　ブラケット　密閉型・拡散タイプ　LEDフラットランプ交換型・防雨型　白熱電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：280 mm　<br>高：280 mm　<br>出しろ：115 mm<br>質量：1.9 kg<br>器具光束：495 lm　<br>電圧：100 V　<br>消費電力：7.6 W　<br>消費効率：65.1 lm/W<br>デザイン分類：Stylish Modern<br>【アルミダイカスト】オフブラック<br>【アクリルカバー】乳白<br>天井直付型・壁直付型、密閉型・拡散タイプ<br>Ra83<br>60形電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>密閉型<br>全灯時：495 lm、調光時：145 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.13 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>","XLGE8013 CT1","36400",
"天井直付型・壁直付型　LED（電球色）　ブラケット　密閉型・拡散タイプ　LEDフラットランプ交換型・防雨型　白熱電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：280 mm　<br>高：280 mm　<br>出しろ：115 mm<br>質量：1.9 kg<br>器具光束：495 lm　<br>電圧：100 V　<br>消費電力：7.6 W　<br>消費効率：65.1 lm/W<br>デザイン分類：Stylish Modern<br>【アルミダイカスト】シルバーメタリック<br>【アクリルカバー】乳白<br>天井直付型・壁直付型、密閉型・拡散タイプ<br>Ra83<br>60形電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>密閉型<br>全灯時：495 lm、調光時：145 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.13 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>","XLGE8014 CT1","36400",
"天井直付型・壁直付型　LED（昼白色）　ブラケット　密閉型・拡散タイプ　LEDフラットランプ交換型・防雨型　白熱電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：280 mm　<br>高：280 mm　<br>出しろ：115 mm<br>質量：1.9 kg<br>器具光束：495 lm　<br>電圧：100 V　<br>消費電力：7.6 W　<br>消費効率：65.1 lm/W<br>デザイン分類：Stylish Modern<br>【アルミダイカスト】シルバーメタリック<br>【アクリルカバー】乳白<br>天井直付型・壁直付型、密閉型・拡散タイプ<br>Ra83<br>60形電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>密閉型<br>全灯時：495 lm、調光時：145 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.13 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>","XLGE8016 CT1","36400",
