"タイトル","説明","品物番号","定価","note",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形1灯器具相当　FLR40形・2000 lm（節電）","LED（昼光色）　<br>色温度：6500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2000 lmタイプ・昼光色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4100ED LA9","21300","受注品",
"40形　ライトバー　直管形蛍光灯FLR40形1灯器具相当　FLR40形・2000 lm（節電）","LED（昼光色）　<br>色温度：6500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2000 lmタイプ・昼光色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4100ED LE9","18300","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形1灯器具相当　FLR40形・2000 lm（節電）","LED（電球色）　<br>色温度：3000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2000 lmタイプ・電球色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4100EL LA9","21300","受注品",
"40形　ライトバー　直管形蛍光灯FLR40形1灯器具相当　FLR40形・2000 lm（節電）","LED（電球色）　<br>色温度：3000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2000 lmタイプ・電球色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4100EL LE9","18300","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形1灯器具相当　FLR40形・2000 lm（節電）","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2000 lmタイプ・昼白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4100EN LA9","21300","",
"40形　ライトバー　直管形蛍光灯FLR40形1灯器具相当　FLR40形・2000 lm（節電）","LED（昼白色）　<br>色温度：5000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2000 lmタイプ・昼白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4100EN LE9","18300","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形1灯器具相当　FLR40形・2000 lm（節電）","LED（温白色）　<br>色温度：3500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2000 lmタイプ・温白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4100EV LA9","21300","受注品",
"40形　ライトバー　直管形蛍光灯FLR40形1灯器具相当　FLR40形・2000 lm（節電）","LED（温白色）　<br>色温度：3500 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2000 lmタイプ・温白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4100EV LE9","18300","",
"40形　ライトバー　連続調光型調光タイプ（ライコン別売）　直管形蛍光灯FLR40形1灯器具相当　FLR40形・2000 lm（節電）","LED（白色）　<br>色温度：4000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜約10～100％連続調光型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2000 lmタイプ・白色<br>Ra83<br>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br>注）適合調光器をご使用ください。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NEL4100EW LA9","21300","受注品",
"40形　ライトバー　直管形蛍光灯FLR40形1灯器具相当　FLR40形・2000 lm（節電）","LED（白色）　<br>色温度：4000 K　<br>光束維持時間40000時間（光束維持率85％）<br>安定器出力型：定格出力型　<br>安定器補足：＜出力固定型＞　<br>電圧：100～242 V<br>【ライトバー（カバー）】ポリカーボネート（乳白）<br>一般タイプ・2000 lmタイプ・白色<br>Ra83<br>注）調光はできません。<br>注）ライトバーのみでは使用できません。必ずパナソニック製iDシリーズ専用の器具本体と組み合わせてご使用ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","NEL4100EW LE9","18300","",
