"タイトル","説明","品物番号","定価",
"天井埋込型　LED（昼白色）　ダウンライト・ソフトライト　ビーム角90度・拡散タイプ・光源遮光角30度・一般光色タイプ　調光タイプ（ライコン別売）／埋込穴φ450　SmartArchi（スマートアーキ）　ラウンドタイプ　LED 550形","<font color="red">ランプ別売</font><br><br>LED（昼白色）　<br>色温度：5000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ450 mm　<br>埋込高：262 mm<br>質量：3.4 kg<br>器具光束：4995 lm　<br>電圧：100～242 V　<br>消費電力：39.4 W　<br>消費効率：126.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板】アルミ（ホワイトつや消し仕上）<br>【枠】アルミ（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ450、ビーム角90度・拡散タイプ・光源遮光角30度・一般光色タイプ<br>Ra85<br>【適合電源ユニット（別売）】調光タイプNTS90551 LJ9<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>拡散タイプ<br>埋込型<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>注）必ず適合電源ユニットと組み合わせてご使用ください。<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度10cm<br>注）断熱施工仕様ではありません。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NYY56558Z","84600",
"天井埋込型　LED（白色）　ダウンライト・ソフトライト　ビーム角90度・拡散タイプ・光源遮光角30度・一般光色タイプ　調光タイプ（ライコン別売）／埋込穴φ450　SmartArchi（スマートアーキ）　ラウンドタイプ　LED 550形","<font color="red">ランプ別売</font><br><br>LED（白色）　<br>色温度：4000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ450 mm　<br>埋込高：262 mm<br>質量：3.4 kg<br>器具光束：4960 lm　<br>電圧：100～242 V　<br>消費電力：39.4 W　<br>消費効率：125.8 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板】アルミ（ホワイトつや消し仕上）<br>【枠】アルミ（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ450、ビーム角90度・拡散タイプ・光源遮光角30度・一般光色タイプ<br>Ra85<br>【適合電源ユニット（別売）】調光タイプNTS90551 LJ9<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>拡散タイプ<br>埋込型<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>注）必ず適合電源ユニットと組み合わせてご使用ください。<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度10cm<br>注）断熱施工仕様ではありません。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NYY56548Z","84600",
"天井埋込型　LED（温白色）　ダウンライト・ソフトライト　ビーム角90度・拡散タイプ・光源遮光角30度・一般光色タイプ　調光タイプ（ライコン別売）／埋込穴φ450　SmartArchi（スマートアーキ）　ラウンドタイプ　LED 550形","<font color="red">ランプ別売</font><br><br>LED（温白色）　<br>色温度：3500 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ450 mm　<br>埋込高：262 mm<br>質量：3.4 kg<br>器具光束：4885 lm　<br>電圧：100～242 V　<br>消費電力：39.4 W　<br>消費効率：123.9 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板】アルミ（ホワイトつや消し仕上）<br>【枠】アルミ（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ450、ビーム角90度・拡散タイプ・光源遮光角30度・一般光色タイプ<br>Ra85<br>【適合電源ユニット（別売）】調光タイプNTS90551 LJ9<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>拡散タイプ<br>埋込型<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>注）必ず適合電源ユニットと組み合わせてご使用ください。<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度10cm<br>注）断熱施工仕様ではありません。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NYY56508Z","84600",
"天井埋込型　LED（電球色）　ダウンライト・ソフトライト　ビーム角90度・拡散タイプ・光源遮光角30度・一般光色タイプ　調光タイプ（ライコン別売）／埋込穴φ450　SmartArchi（スマートアーキ）　ラウンドタイプ　LED 550形","<font color="red">ランプ別売</font><br><br>LED（電球色）　<br>色温度：3000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ450 mm　<br>埋込高：262 mm<br>質量：3.4 kg<br>器具光束：4705 lm　<br>電圧：100～242 V　<br>消費電力：39.4 W　<br>消費効率：119.4 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板】アルミ（ホワイトつや消し仕上）<br>【枠】アルミ（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ450、ビーム角90度・拡散タイプ・光源遮光角30度・一般光色タイプ<br>Ra85<br>【適合電源ユニット（別売）】調光タイプNTS90551 LJ9<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>拡散タイプ<br>埋込型<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>注）必ず適合電源ユニットと組み合わせてご使用ください。<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度10cm<br>注）断熱施工仕様ではありません。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NYY56538Z","84600",
"天井埋込型　LED（昼白色）　ダウンライト　浅型8H・高気密SB形・拡散タイプ（マイルド配光）　埋込穴φ100　白熱電球60形1灯器具相当","LED（昼白色タイプ）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：365 lm　<br>電圧：100 V　<br>消費電力：4.5 W　<br>消費効率：81.1 lm/W<br>【鋼板枠】ブラックつや消し<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・拡散タイプ（マイルド配光）<br>Ra83<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>60形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>入力電流（100V時）：0.1 A<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","LGD1109N LE1","3900",
"天井埋込型　LED（昼白色）　ダウンライト　浅型8H・高気密SB形・拡散タイプ（マイルド配光）　埋込穴φ100　白熱電球60形1灯器具相当","LED（昼白色タイプ）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：365 lm　<br>電圧：100 V　<br>消費電力：4.5 W　<br>消費効率：81.1 lm/W<br>【鋼板枠】ブラックつや消し<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・拡散タイプ（マイルド配光）<br>Ra83<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>60形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>入力電流（100V時）：0.1 A<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","LSEB9539 LE1","3900",
"天井埋込型　LED（温白色）　ダウンライト　浅型8H・高気密SB形・拡散タイプ（マイルド配光）　埋込穴φ100　白熱電球60形1灯器具相当","LED（温白色タイプ）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：355 lm　<br>電圧：100 V　<br>消費電力：4.5 W　<br>消費効率：78.8 lm/W<br>【鋼板枠】ブラックつや消し<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・拡散タイプ（マイルド配光）<br>Ra83<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>60形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>入力電流（100V時）：0.1 A<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","LGD1109V LE1","3900",
"天井埋込型　LED（温白色）　ダウンライト　浅型8H・高気密SB形・拡散タイプ（マイルド配光）　埋込穴φ100　白熱電球60形1灯器具相当","LED（温白色タイプ）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：355 lm　<br>電圧：100 V　<br>消費電力：4.5 W　<br>消費効率：78.8 lm/W<br>【鋼板枠】ブラックつや消し<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・拡散タイプ（マイルド配光）<br>Ra83<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>60形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>入力電流（100V時）：0.1 A<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","LSEB9540 LE1","3900",
"天井埋込型　LED（電球色）　ダウンライト　浅型8H・高気密SB形・拡散タイプ（マイルド配光）　埋込穴φ100　白熱電球60形1灯器具相当","LED（電球色タイプ）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：335 lm　<br>電圧：100 V　<br>消費電力：4.5 W　<br>消費効率：74.4 lm/W<br>【鋼板枠】ブラックつや消し<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・拡散タイプ（マイルド配光）<br>Ra83<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>60形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>入力電流（100V時）：0.1 A<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","LGD1109L LE1","3900",
"天井埋込型　LED（電球色）　ダウンライト　浅型8H・高気密SB形・拡散タイプ（マイルド配光）　埋込穴φ100　白熱電球60形1灯器具相当","LED（電球色タイプ）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：335 lm　<br>電圧：100 V　<br>消費電力：4.5 W　<br>消費効率：74.4 lm/W<br>【鋼板枠】ブラックつや消し<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・拡散タイプ（マイルド配光）<br>Ra83<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>60形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>入力電流（100V時）：0.1 A<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","LSEB9541 LE1","3900",
