"タイトル","説明","品物番号","定価",
"天井吊下型　LED（電球色）　ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ140 mm　<br>高：167 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.5 kg<br>器具光束：431 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：100.2 lm/W<br>デザイン分類：Natural／Casual<br>【ガラスセード】透明・一部つや消し<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>55度までの傾斜天井に取付可能<br>手造り品ですので寸法、および色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15452K","27000",
"天井吊下型　LED（温白色）　ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（温白色）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ140 mm　<br>高：167 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.5 kg<br>器具光束：431 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：100.2 lm/W<br>デザイン分類：Natural／Casual<br>【ガラスセード】透明・一部つや消し<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>55度までの傾斜天井に取付可能<br>手造り品ですので寸法、および色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15453K","27000",
"配線ダクト取付型　LED（電球色）　ペンダント　ガラスセードタイプ・ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ140 mm　<br>高：167 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.5 kg<br>器具光束：431 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：100.2 lm/W<br>デザイン分類：Natural／Casual<br>【ガラスセード】透明・一部つや消し<br>配線ダクト取付型、ガラスセードタイプ・ダクトタイプ<br>Ra80<br>100V配線ダクト用<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>手造り品ですので寸法、および色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16452K","28000",
"配線ダクト取付型　LED（温白色）　ペンダント　ガラスセードタイプ・ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（温白色）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ140 mm　<br>高：167 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.5 kg<br>器具光束：431 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：100.2 lm/W<br>デザイン分類：Natural／Casual<br>【ガラスセード】透明・一部つや消し<br>配線ダクト取付型、ガラスセードタイプ・ダクトタイプ<br>Ra80<br>100V配線ダクト用<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01088・別売）<br>手造り品ですので寸法、および色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16453K","28000",
"天井吊下型　LED（電球色）　ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ110 mm　<br>高：188 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.8 kg<br>器具光束：430 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：100 lm/W<br>【ガラスセード】フロスト<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01089・別売）<br>55度までの傾斜天井に取付可能<br>手造りの風合いが特長の商品ですので、一品一品寸法、および色味・形状・仕上げが異なります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15480K","60000",
"天井吊下型　LED（温白色）　ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（温白色）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ110 mm　<br>高：188 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.8 kg<br>器具光束：430 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：100 lm/W<br>【ガラスセード】フロスト<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01089・別売）<br>55度までの傾斜天井に取付可能<br>手造りの風合いが特長の商品ですので、一品一品寸法、および色味・形状・仕上げが異なります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15481K","60000",
"配線ダクト取付型　LED（電球色）　ペンダント　ガラスセードタイプ・ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ110 mm　<br>高：188 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.8 kg<br>器具光束：430 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：100 lm/W<br>【ガラスセード】フロスト<br>配線ダクト取付型、ガラスセードタイプ・ダクトタイプ<br>Ra80<br>100V配線ダクト用<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01089・別売）<br>手造りの風合いが特長の商品ですので、一品一品寸法、および色味・形状・仕上げが異なります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16400K","60000",
"配線ダクト取付型　LED（温白色）　ペンダント　ガラスセードタイプ・ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（温白色）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ110 mm　<br>高：188 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.8 kg<br>器具光束：430 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：100 lm/W<br>【ガラスセード】フロスト<br>配線ダクト取付型、ガラスセードタイプ・ダクトタイプ<br>Ra80<br>100V配線ダクト用<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01089・別売）<br>手造りの風合いが特長の商品ですので、一品一品寸法、および色味・形状・仕上げが異なります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16401K","60000",
"天井吊下型　LED（電球色）　ペンダント　ガラスセードタイプ・直付タイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ164 mm　<br>高：261 mm　<br>全高：700～1200 mm 調節可能<br>質量：0.9 kg<br>器具光束：427 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：99.3 lm/W<br>デザイン分類：French Chic／Modern Classic<br>【ガラスセード】透明模様入り<br>天井吊下型、ガラスセードタイプ・直付タイプ<br>Ra80<br>コード50cm収納可能<br>コード収納型フランジ<br>40形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>手造り品ですので寸法、および色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>","LGB15367Z","31500",
"配線ダクト取付型　LED（電球色）　ペンダント　ガラスセードタイプ・ダクトタイプ　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：φ164 mm　<br>高：261 mm<br>質量：0.9 kg<br>器具光束：427 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：99.3 lm/W<br>デザイン分類：French Chic／Modern Classic<br>【ガラスセード】透明模様入り<br>配線ダクト取付型、ガラスセードタイプ・ダクトタイプ<br>Ra80<br>コードクリップ付<br>100V配線ダクト用<br>40形電球1灯器具相当<br>コードアジャスタ取付可能（LK01089・別売）<br>手造り品ですので寸法、および色味・模様が多少異なることがあります。<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>引掛シーリングには取り付け不可<br>","LGB16067Z","31500",
