"タイトル","説明","品物番号","定価",
"天井埋込型　LED（昼白色）　軒下用ダウンライト　ビーム角65度・拡散タイプ・光源遮光角15度・強化ガラスパネル付・高天井用　防雨型・調光タイプ（ライコン別売）／埋込穴φ400　HID400形1灯器具相当　LED 2000形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命60000時間（光束維持率80％）<br>埋込穴径：φ400 mm　<br>埋込高：375 mm<br>質量：9.5 kg<br>器具光束：16500 lm　<br>電圧：100～242 V　<br>消費電力：130.6 W　<br>消費効率：126.3 lm/W<br>【枠】鋼板（ホワイトつや消し仕上）<br>【パネル】強化ガラス（透明）<br>【反射板】アルミ（銀色鏡面仕上）<br>落下防止ワイヤー付<br>天井埋込型、埋込穴φ400、ビーム角65度・拡散タイプ・光源遮光角15度・強化ガラスパネル付・高天井用<br>Ra70<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K＋NQL10161<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K＋NQL10161<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約5％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：1.34 A<br>入力電流（200V時）：0.66 A<br>入力電流（242V時）：0.55 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度50cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは475mm以上必要となります。<br>注）器具の取付周囲温度は－10～40℃でご使用ください。一時的に50℃まで上昇する場所でも使用は可能ですが、部品劣化による短寿命や光束低下の原因となります。継続使用はご遠慮ください。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NDW97980WK LR9","308000",
"天井埋込型　LED（電球色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ100　パネル付型　110Vダイクール電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス400 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：400 lm　<br>電圧：100 V　<br>消費電力：3.9 W　<br>消費効率：102.5 lm/W<br>【アルミ枠】ホワイトつや消し<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>【適合リニューアルプレート】LGK02010<br>【適合リニューアルプレート】LGK02011<br>集光タイプ（ビーム角24度）<br>60形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：400 lm、調光時：120 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED1120L CT1","21000",
"天井埋込型　LED（電球色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ150　パネル付型　110Vダイクール電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス400 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ150 mm　<br>埋込高：80 mm<br>器具光束：400 lm　<br>電圧：100 V　<br>消費電力：3.9 W　<br>消費効率：102.5 lm/W<br>【アルミ枠】ホワイトつや消し<br>天井埋込型、埋込穴φ150、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>60形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：400 lm、調光時：120 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED1220L CT1","24300",
"天井埋込型　LED（電球色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ100　パネル付型　110Vダイクール電球80形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：620 lm　<br>電圧：100 V　<br>消費電力：6.5 W　<br>消費効率：95.3 lm/W<br>【アルミ枠】ホワイトつや消し<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>【適合リニューアルプレート】LGK02010<br>【適合リニューアルプレート】LGK02011<br>集光タイプ（ビーム角24度）<br>80形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：620 lm、調光時：185 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.12 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED3120L CT1","23200",
"天井埋込型　LED（昼白色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ100　パネル付型　110Vダイクール電球80形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：620 lm　<br>電圧：100 V　<br>消費電力：6.5 W　<br>消費効率：95.3 lm/W<br>【アルミ枠】ホワイトつや消し<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>【適合リニューアルプレート】LGK02010<br>【適合リニューアルプレート】LGK02011<br>集光タイプ（ビーム角24度）<br>80形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：620 lm、調光時：185 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.12 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED3120N CT1","23200",
"天井埋込型　LED（電球色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ150　パネル付型　110Vダイクール電球80形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ150 mm　<br>埋込高：80 mm<br>器具光束：620 lm　<br>電圧：100 V　<br>消費電力：6.5 W　<br>消費効率：95.3 lm/W<br>【アルミ枠】ホワイトつや消し<br>天井埋込型、埋込穴φ150、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>80形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：620 lm、調光時：185 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.12 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED3220L CT1","26500",
"天井埋込型　LED（昼白色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ150　パネル付型　110Vダイクール電球80形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ150 mm　<br>埋込高：80 mm<br>器具光束：620 lm　<br>電圧：100 V　<br>消費電力：6.5 W　<br>消費効率：95.3 lm/W<br>【アルミ枠】ホワイトつや消し<br>天井埋込型、埋込穴φ150、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>80形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：620 lm、調光時：185 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.12 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED3220N CT1","26500",
"天井埋込型　LED（電球色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ100　パネル付型　110Vダイクール電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス400 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：340 lm　<br>電圧：100 V　<br>消費電力：3.9 W　<br>消費効率：87.1 lm/W<br>【アルミ枠】プラチナメタリック<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>【適合リニューアルプレート】LGK02010<br>【適合リニューアルプレート】LGK02011<br>集光タイプ（ビーム角24度）<br>60形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：340 lm、調光時：100 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED1122L CT1","21000",
"天井埋込型　LED（電球色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ150　パネル付型　110Vダイクール電球60形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス400 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ150 mm　<br>埋込高：80 mm<br>器具光束：340 lm　<br>電圧：100 V　<br>消費電力：3.9 W　<br>消費効率：87.1 lm/W<br>【アルミ枠】プラチナメタリック<br>天井埋込型、埋込穴φ150、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>60形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：340 lm、調光時：100 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.07 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED1222L CT1","24300",
"天井埋込型　LED（電球色）　軒下用ダウンライト・エクステリアダウンライト　浅型8H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・防湿型・防雨型／埋込穴φ100　パネル付型　110Vダイクール電球80形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>器具光束：565 lm　<br>電圧：100 V　<br>消費電力：6.5 W　<br>消費効率：86.9 lm/W<br>【アルミ枠】プラチナメタリック<br>天井埋込型、埋込穴φ100、浅型8H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>【適合リニューアルプレート】LGK02010<br>【適合リニューアルプレート】LGK02011<br>集光タイプ（ビーム角24度）<br>80形ダイクール電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：565 lm、調光時：165 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.12 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは80mm必要となります。<br>直下近接限度10cm<br>","XED3122L CT1","23200",
