"タイトル","説明","品物番号","定価",
"壁直付型　LED（電球色）　表札灯　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：125 mm　<br>高：125 mm　<br>出しろ：85 mm<br>質量：0.4 kg<br>器具光束：184 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：42.7 lm/W<br>デザイン分類：Casual<br>【アクリルカバー】乳白<br>壁直付型<br>Ra80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>ボックス取り付け不可<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85116W","14800",
"壁直付型　LED（電球色）　表札灯　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：125 mm　<br>高：125 mm　<br>出しろ：85 mm<br>質量：0.4 kg<br>器具光束：184 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：42.7 lm/W<br>デザイン分類：Stylish Modern<br>【アクリルカバー】乳白<br>壁直付型<br>Ra80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>ボックス取り付け不可<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85116S","14800",
"壁直付型　LED（電球色）　表札灯　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：125 mm　<br>高：125 mm　<br>出しろ：85 mm<br>質量：0.4 kg<br>器具光束：184 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：42.7 lm/W<br>デザイン分類：Villa Resort<br>【アクリルカバー】乳白<br>壁直付型<br>Ra80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>ボックス取り付け不可<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85116A","14800",
"壁直付型　LED（電球色）　表札灯　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：125 mm　<br>高：125 mm　<br>出しろ：85 mm<br>質量：0.4 kg<br>器具光束：184 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：42.7 lm/W<br>デザイン分類：Natural<br>【アクリルカバー】乳白<br>壁直付型<br>Ra80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>ボックス取り付け不可<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85116Y","14800",
"壁直付型　LED（電球色）　表札灯　LED電球交換型・防雨型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：125 mm　<br>高：125 mm　<br>出しろ：85 mm<br>質量：0.4 kg<br>器具光束：184 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：42.7 lm/W<br>デザイン分類：Stylish Modern<br>【アクリルカバー】乳白<br>壁直付型<br>Ra80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>ボックス取り付け不可<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGW85116B","14800",
"壁直付型　LED（電球色）　表札灯　LED電球交換型・防雨型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：125 mm　<br>高：125 mm　<br>出しろ：85 mm<br>質量：0.4 kg<br>器具光束：184 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：42.7 lm/W<br>デザイン分類：Casual<br>【アクリルカバー】乳白<br>壁直付型<br>Ra80<br>明るさセンサ付<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>ボックス取り付け不可<br>調光操作不可<br>写真方向以外取り付け不可<br>天井、横壁近接限度30cm<br>","LGWJ85116W","22700",
"壁直付型　LED（電球色）　表札灯　LED電球交換型・防雨型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：125 mm　<br>高：125 mm　<br>出しろ：85 mm<br>質量：0.4 kg<br>器具光束：184 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：42.7 lm/W<br>デザイン分類：Stylish Modern<br>【アクリルカバー】乳白<br>壁直付型<br>Ra80<br>明るさセンサ付<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>ボックス取り付け不可<br>調光操作不可<br>写真方向以外取り付け不可<br>天井、横壁近接限度30cm<br>","LGWJ85116S","22700",
"壁直付型　LED（電球色）　表札灯　LED電球交換型・防雨型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：125 mm　<br>高：125 mm　<br>出しろ：85 mm<br>質量：0.4 kg<br>器具光束：184 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：42.7 lm/W<br>デザイン分類：Villa Resort<br>【アクリルカバー】乳白<br>壁直付型<br>Ra80<br>明るさセンサ付<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>ボックス取り付け不可<br>調光操作不可<br>写真方向以外取り付け不可<br>天井、横壁近接限度30cm<br>","LGWJ85116A","22700",
"壁直付型　LED（電球色）　表札灯　LED電球交換型・防雨型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：125 mm　<br>高：125 mm　<br>出しろ：85 mm<br>質量：0.4 kg<br>器具光束：184 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：42.7 lm/W<br>デザイン分類：Natural<br>【アクリルカバー】乳白<br>壁直付型<br>Ra80<br>明るさセンサ付<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>ボックス取り付け不可<br>調光操作不可<br>写真方向以外取り付け不可<br>天井、横壁近接限度30cm<br>","LGWJ85116Y","22700",
"壁直付型　LED（電球色）　表札灯　LED電球交換型・防雨型・明るさセンサ付　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：125 mm　<br>高：125 mm　<br>出しろ：85 mm<br>質量：0.4 kg<br>器具光束：184 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：42.7 lm/W<br>デザイン分類：Stylish Modern<br>【アクリルカバー】乳白<br>壁直付型<br>Ra80<br>明るさセンサ付<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>ボックス取り付け不可<br>調光操作不可<br>写真方向以外取り付け不可<br>天井、横壁近接限度30cm<br>","LGWJ85116B","22700",
