"タイトル","説明","品物番号","定価",
"地中埋込型　LED（電球色）　エントランスライト　LED電球交換型・防雨型／地上高800mm　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：2.3 kg<br>器具光束：295 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：68.6 lm/W<br>デザイン分類：Stylish Modern Casual<br>【ステンレスポール】プラチナメタリック<br>【ガラスグローブ】乳白つや消し<br>地中埋込型、地上高800mm<br>Ra80<br>【推奨電線管・当社パナフレキエース】DM322 （PF管呼び22：JIS C8411）<br>ポール径φ80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ケーブル別売<br>","XLGE5034YK","28300",
"地中埋込型　LED（電球色）　エントランスライト　LED電球交換型・防雨型／地上高800mm　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：2.3 kg<br>器具光束：295 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：68.6 lm/W<br>【ステンレスポール】シルバーメタリック<br>【ガラスグローブ】乳白つや消し<br>地中埋込型、地上高800mm<br>Ra80<br>【推奨電線管・当社パナフレキエース】DM322 （PF管呼び22：JIS C8411）<br>ポール径φ80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ケーブル別売<br>","XLGE5034SK","28300",
"地中埋込型　LED（電球色）　エントランスライト　LED電球交換型・防雨型／地上高800mm　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：2.3 kg<br>器具光束：295 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：68.6 lm/W<br>デザイン分類：Stylish Modern Casual<br>【ステンレスポール】オフブラック<br>【ガラスグローブ】乳白つや消し<br>地中埋込型、地上高800mm<br>Ra80<br>【推奨電線管・当社パナフレキエース】DM322 （PF管呼び22：JIS C8411）<br>ポール径φ80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ケーブル別売<br>","XLGE5034BK","28300",
"地中埋込型　LED（電球色）　エントランスライト　LED電球交換型・防雨型／地上高625mm　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：2.1 kg<br>器具光束：295 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：68.6 lm/W<br>デザイン分類：Stylish Modern Casual<br>【ステンレスポール】プラチナメタリック<br>【ガラスグローブ】乳白つや消し<br>地中埋込型、地上高625mm<br>Ra80<br>【推奨電線管・当社パナフレキエース】DM322 （PF管呼び22：JIS C8411）<br>ポール径φ80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ケーブル別売<br>","XLGE5033YK","26000",
"地中埋込型　LED（電球色）　エントランスライト　LED電球交換型・防雨型／地上高625mm　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：2.1 kg<br>器具光束：295 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：68.6 lm/W<br>【ステンレスポール】シルバーメタリック<br>【ガラスグローブ】乳白つや消し<br>地中埋込型、地上高625mm<br>Ra80<br>【推奨電線管・当社パナフレキエース】DM322 （PF管呼び22：JIS C8411）<br>ポール径φ80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ケーブル別売<br>","XLGE5033SK","26000",
"地中埋込型　LED（電球色）　エントランスライト　LED電球交換型・防雨型／地上高625mm　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：2.1 kg<br>器具光束：295 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：68.6 lm/W<br>デザイン分類：Stylish Modern Casual<br>【ステンレスポール】オフブラック<br>【ガラスグローブ】乳白つや消し<br>地中埋込型、地上高625mm<br>Ra80<br>【推奨電線管・当社パナフレキエース】DM322 （PF管呼び22：JIS C8411）<br>ポール径φ80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ケーブル別売<br>","XLGE5033BK","26000",
"地中埋込型　LED（電球色）　エントランスライト　LED電球交換型・防雨型／地上高782mm　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：1.9 kg<br>器具光束：280 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：65.1 lm/W<br>【ステンレスポール】プラチナメタリック<br>【ガラスグローブ】乳白つや消し<br>地中埋込型、地上高782mm<br>Ra80<br>【推奨電線管・当社パナフレキエース】DM322 （PF管呼び22：JIS C8411）<br>ポール径φ80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ケーブル別売<br>","XLGE5032YU","31300",
"地中埋込型　LED（電球色）　エントランスライト　LED電球交換型・防雨型／地上高782mm　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：1.9 kg<br>器具光束：280 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：65.1 lm/W<br>【ステンレスポール】シルバーメタリック<br>【ガラスグローブ】乳白つや消し<br>地中埋込型、地上高782mm<br>Ra80<br>【推奨電線管・当社パナフレキエース】DM322 （PF管呼び22：JIS C8411）<br>ポール径φ80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ケーブル別売<br>","XLGE5032SU","31300",
"地中埋込型　LED（電球色）　エントランスライト　LED電球交換型・防雨型／地上高782mm　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：1.9 kg<br>器具光束：280 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：65.1 lm/W<br>【ステンレスポール】オフブラック<br>【ガラスグローブ】乳白つや消し<br>地中埋込型、地上高782mm<br>Ra80<br>【推奨電線管・当社パナフレキエース】DM322 （PF管呼び22：JIS C8411）<br>ポール径φ80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ケーブル別売<br>","XLGE5032BU","31300",
"地中埋込型　LED（電球色）　エントランスライト　LED電球交換型・防雨型／地上高482mm　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：1.6 kg<br>器具光束：280 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：65.1 lm/W<br>【ステンレスポール】プラチナメタリック<br>【ガラスグローブ】乳白つや消し<br>地中埋込型、地上高482mm<br>Ra80<br>【推奨電線管・当社パナフレキエース】DM322 （PF管呼び22：JIS C8411）<br>ポール径φ80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ケーブル別売<br>","XLGE5031YU","29000",
