"タイトル","説明","品物番号","定価",
"壁直付型　LED（電球色）　ブラケット　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：164 mm　<br>高：223 mm　<br>出しろ：291 mm<br>質量：1 kg<br>器具光束：427 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：99.3 lm/W<br>デザイン分類：French Chic／Modern Classic<br>【ガラスカバー】透明模様入り<br>壁直付型<br>Ra80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGB81553Z","37000",
"壁直付型　LED（電球色）　ブラケット　上下面開放型　LED電球交換型　白熱電球60形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：120 mm　<br>高：126 mm　<br>出しろ：115 mm<br>質量：0.3 kg<br>器具光束：404 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：93.9 lm/W<br>デザイン分類：Casual<br>【アクリルカバー】乳白<br>壁直付型、上下面開放型<br>Ra80<br>上下面開放型<br>60形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>天井近接限度30cm<br>","LGB87080Z","15100",
"壁直付型　LED（電球色）　ブラケット　上下面開放型　LED電球交換型　白熱電球60形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：120 mm　<br>高：126 mm　<br>出しろ：115 mm<br>質量：0.3 kg<br>器具光束：404 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：93.9 lm/W<br>デザイン分類：Stylish Modern<br>【アクリルカバー】乳白<br>壁直付型、上下面開放型<br>Ra80<br>上下面開放型<br>60形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>天井近接限度30cm<br>","LGB87081Z","16300",
"壁直付型　LED（電球色）　ブラケット　上下面開放型　LED電球交換型　白熱電球60形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：120 mm　<br>高：126 mm　<br>出しろ：115 mm<br>質量：0.3 kg<br>器具光束：404 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：93.9 lm/W<br>デザイン分類：Natural<br>【アクリルカバー】乳白<br>壁直付型、上下面開放型<br>Ra80<br>上下面開放型<br>60形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>天井近接限度30cm<br>","LGB87082Z","16300",
"壁直付型　LED（電球色）　ブラケット　上下面開放型　LED電球交換型　白熱電球60形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：120 mm　<br>高：126 mm　<br>出しろ：115 mm<br>質量：0.3 kg<br>器具光束：404 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：93.9 lm/W<br>デザイン分類：Villa Resort<br>【アクリルカバー】乳白<br>壁直付型、上下面開放型<br>Ra80<br>上下面開放型<br>60形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>天井近接限度30cm<br>","LGB87083Z","16300",
"壁直付型　LED（電球色）　ブラケット　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：155 mm　<br>高：242 mm　<br>出しろ：277 mm<br>質量：1 kg<br>器具光束：369 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：85.8 lm/W<br>デザイン分類：Modern Classic<br>【ガラスセード】乳白つや消し<br>壁直付型<br>Ra80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGB81524F","28900",
"壁直付型　LED（電球色）　ブラケット　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：240 mm　<br>高：190 mm　<br>出しろ：110 mm<br>質量：0.4 kg<br>器具光束：365 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：84.8 lm/W<br>デザイン分類：Modern Classic<br>【クリーンアクリルカバー】乳白つや消し<br>壁直付型<br>Ra80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>天井近接限度30cm<br>","LGB87021F","20300",
"壁直付型　LED（電球色）　ブラケット　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：120 mm　<br>高：202 mm　<br>出しろ：153 mm<br>質量：0.6 kg<br>器具光束：348 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：80.9 lm/W<br>デザイン分類：Casual／Natural<br>壁直付型<br>Ra80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGB81614K","23700",
"壁直付型　LED（温白色）　ブラケット　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（温白色）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：120 mm　<br>高：202 mm　<br>出しろ：153 mm<br>質量：0.6 kg<br>器具光束：348 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：80.9 lm/W<br>デザイン分類：Casual／Natural<br>壁直付型<br>Ra80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>写真方向以外取り付け不可<br>","LGB81620K","23700",
"壁直付型　LED（電球色）　ブラケット　LED電球交換型　白熱電球40形1灯器具相当","LED電球小形電球タイプ4.3W1灯（E17）（電球色）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>幅：100 mm　<br>高：180 mm　<br>出しろ：128 mm<br>質量：0.6 kg<br>器具光束：347 lm　<br>電圧：100 V　<br>消費電力：4.3 W　<br>消費効率：80.6 lm/W<br>デザイン分類：Casual<br>【ガラスカバー】乳白つや消し<br>壁直付型<br>Ra80<br>40形電球1灯器具相当<br>LED電球専用商品<br>入力電流（100V時）：0.075 A<br>調光操作不可<br>ボックス取り付け不可<br>写真方向以外取り付け不可<br>天井近接限度30cm<br>","LGB87024F","21700",
