"タイトル","説明","品物番号","定価",
"天井直付型・壁直付型　LED（電球色）　エクステリアスポットライト　ビーム角24度・集光タイプ　LEDフラットランプ交換型・防雨型　パネル付型　110Vダイクール電球100形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：1.3 kg<br>器具光束：695 lm　<br>電圧：100 V　<br>消費電力：6.7 W　<br>消費効率：103.7 lm/W<br>【アルミダイカスト】オフブラック<br>【アクリルパネル】透明<br>天井直付型・壁直付型、ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>照射方向可動型<br>可動範囲上下110度<br>回転方向330度<br>100形ダイクール電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>全灯時：695 lm、調光時：205 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.11 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>写真方向以外取り付け不可<br>","XLGE1121 CT1","35300",
"天井直付型・壁直付型　LED（昼白色）　エクステリアスポットライト　ビーム角24度・集光タイプ　LEDフラットランプ交換型・防雨型　パネル付型　110Vダイクール電球100形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：1.3 kg<br>器具光束：695 lm　<br>電圧：100 V　<br>消費電力：6.7 W　<br>消費効率：103.7 lm/W<br>【アルミダイカスト】オフブラック<br>【アクリルパネル】透明<br>天井直付型・壁直付型、ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>照射方向可動型<br>可動範囲上下110度<br>回転方向330度<br>100形ダイクール電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>全灯時：695 lm、調光時：205 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.11 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>写真方向以外取り付け不可<br>","XLGE1123 CT1","35300",
"天井直付型・壁直付型　LED（電球色）　エクステリアスポットライト　ビーム角24度・集光タイプ　LEDフラットランプ交換型・防雨型　パネル付型　110Vダイクール電球100形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：1.3 kg<br>器具光束：695 lm　<br>電圧：100 V　<br>消費電力：6.7 W　<br>消費効率：103.7 lm/W<br>【アルミダイカスト】シルバーメタリック<br>【アクリルパネル】透明<br>天井直付型・壁直付型、ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>照射方向可動型<br>可動範囲上下110度<br>回転方向330度<br>100形ダイクール電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>全灯時：695 lm、調光時：205 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.11 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>写真方向以外取り付け不可<br>","XLGE1124 CT1","35300",
"天井直付型・壁直付型　LED（昼白色）　エクステリアスポットライト　ビーム角24度・集光タイプ　LEDフラットランプ交換型・防雨型　パネル付型　110Vダイクール電球100形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：1.3 kg<br>器具光束：695 lm　<br>電圧：100 V　<br>消費電力：6.7 W　<br>消費効率：103.7 lm/W<br>【アルミダイカスト】シルバーメタリック<br>【アクリルパネル】透明<br>天井直付型・壁直付型、ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>照射方向可動型<br>可動範囲上下110度<br>回転方向330度<br>100形ダイクール電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>全灯時：695 lm、調光時：205 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.11 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>写真方向以外取り付け不可<br>","XLGE1126 CT1","35300",
"天井直付型・壁直付型　LED（電球色）　エクステリアスポットライト　ビーム角24度・集光タイプ　LEDフラットランプ交換型・防雨型　パネル付型　110Vダイクール電球100形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：1.3 kg<br>器具光束：695 lm　<br>電圧：100 V　<br>消費電力：6.7 W　<br>消費効率：103.7 lm/W<br>【アルミダイカスト】プラチナメタリック<br>【アクリルパネル】透明<br>天井直付型・壁直付型、ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>照射方向可動型<br>可動範囲上下110度<br>回転方向330度<br>100形ダイクール電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>全灯時：695 lm、調光時：205 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.11 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>写真方向以外取り付け不可<br>","XLGE1127 CT1","35300",
"天井直付型・壁直付型　LED（昼白色）　エクステリアスポットライト　ビーム角24度・集光タイプ　LEDフラットランプ交換型・防雨型　パネル付型　110Vダイクール電球100形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：1.3 kg<br>器具光束：695 lm　<br>電圧：100 V　<br>消費電力：6.7 W　<br>消費効率：103.7 lm/W<br>【アルミダイカスト】プラチナメタリック<br>【アクリルパネル】透明<br>天井直付型・壁直付型、ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>照射方向可動型<br>可動範囲上下110度<br>回転方向330度<br>100形ダイクール電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>全灯時：695 lm、調光時：205 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.11 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>写真方向以外取り付け不可<br>","XLGE1129 CT1","35300",
"天井直付型・壁直付型　LED（電球色）　エクステリアスポットライト　ビーム角24度・集光タイプ　LEDフラットランプ交換型・防雨型　パネル付型　110Vダイクール電球100形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：1.3 kg<br>器具光束：695 lm　<br>電圧：100 V　<br>消費電力：6.7 W　<br>消費効率：103.7 lm/W<br>【アルミダイカスト】ホワイト<br>【アクリルパネル】透明<br>天井直付型・壁直付型、ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>照射方向可動型<br>可動範囲上下110度<br>回転方向330度<br>100形ダイクール電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>全灯時：695 lm、調光時：205 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.11 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>写真方向以外取り付け不可<br>","XLGE1130 CT1","35300",
"天井直付型・壁直付型　LED（昼白色）　エクステリアスポットライト　ビーム角24度・集光タイプ　LEDフラットランプ交換型・防雨型　パネル付型　110Vダイクール電球100形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：1.3 kg<br>器具光束：695 lm　<br>電圧：100 V　<br>消費電力：6.7 W　<br>消費効率：103.7 lm/W<br>【アルミダイカスト】ホワイト<br>【アクリルパネル】透明<br>天井直付型・壁直付型、ビーム角24度・集光タイプ<br>Ra83<br>集光タイプ（ビーム角24度）<br>照射方向可動型<br>可動範囲上下110度<br>回転方向330度<br>100形ダイクール電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>壁面・天井面取付専用<br>全灯時：695 lm、調光時：205 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.11 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>写真方向以外取り付け不可<br>","XLGE1132 CT1","35300",
"スパイク取付型　LED（電球色）　エクステリアスポットライト　ビーム角24度・集光タイプ　LEDフラットランプ交換型・防雨型　パネル付型　110Vダイクール電球100形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：1.4 kg<br>器具光束：695 lm　<br>電圧：100 V　<br>消費電力：6.7 W　<br>消費効率：103.7 lm/W<br>【アルミダイカスト】オフブラック<br>【アクリルパネル】透明<br>スパイク取付型、ビーム角24度・集光タイプ<br>Ra83<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグ付<br>集光タイプ（ビーム角24度）<br>照射方向可動型<br>二重絶縁型<br>可動範囲上下120度<br>100形ダイクール電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：695 lm、調光時：205 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.11 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>","XLGE0101 CT1","41100",
"スパイク取付型　LED（電球色）　エクステリアスポットライト　ビーム角24度・集光タイプ　LEDフラットランプ交換型・防雨型　パネル付型　110Vダイクール電球100形1灯器具相当","LEDフラットランプφ70　タイマー調光　クラス700 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>質量：1.4 kg<br>器具光束：695 lm　<br>電圧：100 V　<br>消費電力：6.7 W　<br>消費効率：103.7 lm/W<br>【アルミダイカスト】シルバーメタリック<br>【アクリルパネル】透明<br>スパイク取付型、ビーム角24度・集光タイプ<br>Ra83<br>スパイク付<br>キャブタイヤケーブル5m付<br>電源プラグ付<br>集光タイプ（ビーム角24度）<br>照射方向可動型<br>二重絶縁型<br>可動範囲上下120度<br>100形ダイクール電球1灯器具相当<br>点灯から6.5時間後に30％の明るさに自動切替<br>全灯時：695 lm、調光時：205 lm<br>※消費電力、入力電流、固有エネルギー消費効率は全灯時の値です。全灯時と調光時で性能値が変化します。<br>入力電流（100V時）：0.11 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>調光操作不可<br>冠水するおそれのあるところへは設置不可<br>","XLGE0103 CT1","41100",
